Wavelength (nm),Extraterrestrial,Global tilt  W*m-2*nm-1,Circumsolar,peak_index,wavelength
343.0,1.0417,0.51489,0.30857,126,343.0
355.0,1.1406,0.6114,0.3914,150,355.0
360.0,1.089,0.59817,0.3924,160,360.0
370.0,1.2934,0.75507,0.51666,180,370.0
378.0,1.4144,0.85595,0.60314,196,378.0
381.0,1.249,0.76383,0.54424,202,381.0
391.5,1.349,0.86344,0.63617,223,391.5
395.5,1.3245,0.86038,0.64101,231,395.5
402.0,1.814,1.2061,0.91387,242,402.0
409.0,1.809,1.2299,0.94717,249,409.0
416.0,1.815,1.2624,0.98628,256,416.0
421.0,1.811,1.2757,1.0067,261,421.0
432.0,1.822,1.3207,1.0628,272,432.0
437.0,1.9,1.3943,1.1306,277,437.0
445.0,1.965,1.4619,1.1992,285,445.0
451.0,2.142,1.6173,1.3376,291,451.0
463.0,2.084,1.6031,1.3452,303,463.0
482.0,2.0623,1.6236,1.3899,322,482.0
490.0,2.032,1.6224,1.3968,330,490.0
495.0,2.051,1.6485,1.4238,335,495.0
506.0,2.025,1.6264,1.4153,346,506.0
512.0,1.989,1.6186,1.4125,352,512.0
516.0,1.891,1.5455,1.3514,356,516.0
522.0,1.915,1.569,1.376,362,522.0
524.0,1.941,1.5905,1.3962,364,524.0
531.0,1.995,1.6292,1.4348,371,531.0
536.0,1.974,1.6199,1.4292,376,536.0
538.0,1.913,1.5738,1.3896,378,538.0
544.0,1.919,1.5792,1.3971,384,544.0
552.0,1.896,1.5697,1.3923,392,552.0
561.0,1.89,1.5595,1.3885,401,561.0
563.0,1.871,1.5408,1.3731,403,563.0
567.0,1.868,1.532,1.3673,407,567.0
573.0,1.881,1.5198,1.3595,413,573.0
583.0,1.863,1.5479,1.3872,423,583.0
604.0,1.779,1.4921,1.3439,444,604.0
621.0,1.724,1.4802,1.3359,461,621.0
638.0,1.665,1.4707,1.3292,478,638.0
651.0,1.613,1.4447,1.3071,491,651.0
669.0,1.558,1.4394,1.3032,509,669.0
697.0,1.438,1.3403,1.2151,537,697.0
705.0,1.433,1.3214,1.1989,545,705.0
722.0,1.36,1.2407,1.1281,562,722.0
744.0,1.2955,1.2503,1.1408,584,744.0
776.0,1.2102,1.1798,1.0827,616,776.0
821.0,1.076,0.99764,0.92292,661,821.0
827.0,1.0762,0.98465,0.91178,667,827.0
846.0,1.037,1.0187,0.94447,686,846.0
851.0,0.998,0.97493,0.90454,691,851.0
863.0,1.012,1.0005,0.92934,703,863.0
870.0,0.977,0.96755,0.89933,710,870.0
904.0,0.921,0.84457,0.78862,744,904.0
909.0,0.88552,0.70431,0.65912,749,909.0
912.0,0.89016,0.68893,0.64508,752,912.0
921.0,0.8703,0.78049,0.73004,761,921.0
927.0,0.87809,0.78742,0.73684,767,927.0
940.0,0.84,0.47181,0.44411,780,940.0
949.0,0.83303,0.49396,0.46514,789,949.0
954.0,0.812,0.42411,0.39988,794,954.0
971.0,0.78186,0.71397,0.67059,811,971.0
994.0,0.75851,0.7541,0.70891,834,994.0
1107.0,0.586,0.48304,0.45866,947,1107.0
1118.0,0.57222,0.21753,0.20763,958,1118.0
1121.0,0.572,0.18586,0.17753,961,1121.0
1125.0,0.57012,0.14428,0.13794,965,1125.0
1127.0,0.56179,0.15725,0.15032,967,1127.0
1131.0,0.568,0.2956,0.28201,971,1131.0
1139.0,0.553,0.2985,0.28484,979,1139.0
1143.0,0.5496,0.31183,0.29758,983,1143.0
1148.0,0.55032,0.27113,0.25898,988,1148.0
1152.0,0.5417,0.24762,0.23666,992,1152.0
1163.0,0.53708,0.46857,0.44644,1003,1163.0
1170.0,0.52875,0.45873,0.43731,1010,1170.0
1176.0,0.51036,0.47679,0.45447,1016,1176.0
1179.0,0.51504,0.48371,0.46114,1019,1179.0
1186.0,0.51519,0.47715,0.45518,1026,1186.0
1197.0,0.50286,0.47715,0.45527,1037,1197.0
1200.0,0.50005,0.44825,0.42789,1040,1200.0
1206.0,0.49869,0.48086,0.45872,1046,1206.0
1231.0,0.47425,0.47203,0.45067,1071,1231.0
1278.0,0.44074,0.42763,0.40916,1118,1278.0
1286.0,0.42878,0.42714,0.40878,1126,1286.0
1306.0,0.41039,0.38453,0.36853,1146,1306.0
1309.0,0.40907,0.38413,0.36822,1149,1309.0
1325.0,0.39369,0.32224,0.30943,1165,1325.0
1335.0,0.38563,0.23117,0.22244,1175,1335.0
1430.0,0.32277,0.061601,0.059912,1270,1430.0
1448.0,0.32096,0.11569,0.11254,1288,1448.0
1454.0,0.31282,0.13759,0.13384,1294,1454.0
1459.0,0.31746,0.16307,0.1586,1299,1459.0
1464.0,0.3082,0.15184,0.1477,1304,1464.0
1469.0,0.31201,0.094845,0.092344,1309,1469.0
1475.0,0.30349,0.18463,0.17954,1315,1475.0
1483.0,0.29813,0.14859,0.14454,1323,1483.0
1501.0,0.2999,0.26552,0.25782,1341,1501.0
1506.0,0.28367,0.25773,0.25026,1346,1506.0
1523.0,0.28448,0.28004,0.27192,1363,1523.0
1990.0,0.11977,0.085613,0.084124,1599,1990.0
2035.0,0.10915,0.096386,0.094808,1608,2035.0
