element,wavelength,intensity,persistence,type,spectrum_region
Actinium,2847.16,100.0,0,Actinides,Ultraviolet
Actinium,2994.17,130.0,0,Actinides,Ultraviolet
Actinium,3043.3,300.0,0,Actinides,Ultraviolet
Actinium,3069.36,130.0,0,Actinides,Ultraviolet
Actinium,3112.83,130.0,0,Actinides,Ultraviolet
Actinium,3153.09,300.0,0,Actinides,Ultraviolet
Actinium,3154.41,300.0,0,Actinides,Ultraviolet
Actinium,3164.81,150.0,0,Actinides,Ultraviolet
Actinium,3230.59,130.0,0,Actinides,Ultraviolet
Actinium,3260.91,300.0,0,Actinides,Ultraviolet
Actinium,3383.53,130.0,0,Actinides,Ultraviolet
Actinium,3413.84,130.0,0,Actinides,Ultraviolet
Actinium,3417.77,200.0,0,Actinides,Ultraviolet
Actinium,3481.16,300.0,0,Actinides,Ultraviolet
Actinium,3489.53,130.0,0,Actinides,Ultraviolet
Actinium,3554.99,130.0,0,Actinides,Ultraviolet
Actinium,3565.59,700.0,1,Actinides,Ultraviolet
Actinium,3756.67,150.0,0,Actinides,Ultraviolet
Actinium,3799.82,70.0,0,Actinides,Ultraviolet
Actinium,3863.12,700.0,1,Actinides,Ultraviolet
Actinium,3885.56,400.0,1,Actinides,Ultraviolet
Actinium,4034.63,200.0,0,Actinides,Visible light
Actinium,4061.6,150.0,0,Actinides,Visible light
Actinium,4063.1,200.0,0,Actinides,Visible light
Actinium,4088.44,1000.0,1,Actinides,Visible light
Actinium,4168.4,700.0,1,Actinides,Visible light
Actinium,4179.98,1000.0,1,Actinides,Visible light
Actinium,4183.12,500.0,1,Actinides,Visible light
Actinium,4194.4,400.0,1,Actinides,Visible light
Actinium,4209.69,100.0,0,Actinides,Visible light
Actinium,4359.13,130.0,0,Actinides,Visible light
Actinium,4384.53,300.0,1,Actinides,Visible light
Actinium,4386.41,500.0,1,Actinides,Visible light
Actinium,4396.71,400.0,1,Actinides,Visible light
Actinium,4462.73,400.0,1,Actinides,Visible light
Actinium,4507.2,700.0,1,Actinides,Visible light
Actinium,4605.45,300.0,0,Actinides,Visible light
Actinium,4613.93,300.0,1,Actinides,Visible light
Actinium,4705.78,200.0,0,Actinides,Visible light
Actinium,4716.58,500.0,1,Actinides,Visible light
Actinium,4720.16,300.0,0,Actinides,Visible light
Actinium,4812.22,200.0,0,Actinides,Visible light
Actinium,5258.24,300.0,1,Actinides,Visible light
Actinium,5569.26,200.0,0,Actinides,Visible light
Actinium,5732.05,70.0,0,Actinides,Visible light
Actinium,5758.97,130.0,0,Actinides,Visible light
Actinium,5910.85,300.0,1,Actinides,Visible light
Actinium,6164.75,200.0,0,Actinides,Visible light
Actinium,6167.83,30.0,0,Actinides,Visible light
Actinium,6242.83,100.0,0,Actinides,Visible light
Actinium,6359.86,300.0,1,Actinides,Visible light
Actinium,6691.27,200.0,1,Actinides,Visible light
Actinium,7290.4,300.0,1,Actinides,Infrared
Actinium,7866.1,200.0,0,Actinides,Infrared
Actinium,2847.16,100.0,0,Actinides,Ultraviolet
Actinium,2994.17,130.0,0,Actinides,Ultraviolet
Actinium,3043.3,300.0,0,Actinides,Ultraviolet
Actinium,3069.36,130.0,0,Actinides,Ultraviolet
Actinium,3112.83,130.0,0,Actinides,Ultraviolet
Actinium,3153.09,300.0,0,Actinides,Ultraviolet
Actinium,3154.41,300.0,0,Actinides,Ultraviolet
Actinium,3164.81,150.0,0,Actinides,Ultraviolet
Actinium,3230.59,130.0,0,Actinides,Ultraviolet
Actinium,3260.91,300.0,0,Actinides,Ultraviolet
Actinium,3383.53,130.0,0,Actinides,Ultraviolet
Actinium,3413.84,130.0,0,Actinides,Ultraviolet
Actinium,3417.77,200.0,0,Actinides,Ultraviolet
Actinium,3481.16,300.0,0,Actinides,Ultraviolet
Actinium,3489.53,130.0,0,Actinides,Ultraviolet
Actinium,3554.99,130.0,0,Actinides,Ultraviolet
Actinium,3565.59,700.0,1,Actinides,Ultraviolet
Actinium,3756.67,150.0,0,Actinides,Ultraviolet
Actinium,3799.82,70.0,0,Actinides,Ultraviolet
Actinium,3863.12,700.0,1,Actinides,Ultraviolet
