element,wavelength,intensity,persistence,type,spectrum_region
Gold,1224.592,600.0,1,Transition Metals,Ultraviolet
Gold,1229.901,600.0,0,Transition Metals,Ultraviolet
Gold,1328.374,9.0,0,Transition Metals,Ultraviolet
Gold,1355.616,400.0,0,Transition Metals,Ultraviolet
Gold,1362.326,400.0,1,Transition Metals,Ultraviolet
Gold,1408.451,9.0,0,Transition Metals,Ultraviolet
Gold,1481.764,9.0,0,Transition Metals,Ultraviolet
Gold,1486.547,500.0,0,Transition Metals,Ultraviolet
Gold,1587.158,20.0,0,Transition Metals,Ultraviolet
Gold,1624.335,9.0,0,Transition Metals,Ultraviolet
Gold,1646.674,14.0,1,Transition Metals,Ultraviolet
Gold,1665.755,9.0,0,Transition Metals,Ultraviolet
Gold,1699.339,20.0,1,Transition Metals,Ultraviolet
Gold,1740.475,600.0,0,Transition Metals,Ultraviolet
Gold,1783.2,600.0,0,Transition Metals,Ultraviolet
Gold,1879.829,9.0,0,Transition Metals,Ultraviolet
Gold,1224.592,600.0,1,Transition Metals,Ultraviolet
Gold,1229.901,600.0,0,Transition Metals,Ultraviolet
Gold,1328.374,9.0,0,Transition Metals,Ultraviolet
Gold,1355.616,400.0,0,Transition Metals,Ultraviolet
Gold,1362.326,400.0,1,Transition Metals,Ultraviolet
Gold,1408.451,9.0,0,Transition Metals,Ultraviolet
Gold,1481.764,9.0,0,Transition Metals,Ultraviolet
Gold,1486.547,500.0,0,Transition Metals,Ultraviolet
Gold,1587.158,20.0,0,Transition Metals,Ultraviolet
Gold,1624.335,9.0,0,Transition Metals,Ultraviolet
Gold,1646.674,14.0,1,Transition Metals,Ultraviolet
Gold,1665.755,9.0,0,Transition Metals,Ultraviolet
Gold,1699.339,20.0,1,Transition Metals,Ultraviolet
Gold,1740.475,600.0,0,Transition Metals,Ultraviolet
Gold,1783.2,600.0,0,Transition Metals,Ultraviolet
Gold,1879.829,9.0,0,Transition Metals,Ultraviolet
Aluminum,1539.83,800.0,1,Post-transition Metals,Ultraviolet
Aluminum,1670.7886,1000.0,1,Post-transition Metals,Ultraviolet
Aluminum,1719.44,800.0,1,Post-transition Metals,Ultraviolet
Aluminum,1721.244,500.0,0,Post-transition Metals,Ultraviolet
Aluminum,1721.271,900.0,1,Post-transition Metals,Ultraviolet
Aluminum,1724.952,500.0,0,Post-transition Metals,Ultraviolet
Aluminum,1724.984,900.0,1,Post-transition Metals,Ultraviolet
Aluminum,1762.899,30.0,0,Post-transition Metals,Ultraviolet
Aluminum,1763.869,500.0,0,Post-transition Metals,Ultraviolet
Aluminum,1763.952,700.0,1,Post-transition Metals,Ultraviolet
Aluminum,1765.636,50.0,0,Post-transition Metals,Ultraviolet
Aluminum,1765.815,300.0,0,Post-transition Metals,Ultraviolet
Aluminum,1766.385,50.0,0,Post-transition Metals,Ultraviolet
Aluminum,1767.731,400.0,0,Post-transition Metals,Ultraviolet
Aluminum,1769.14,50.0,0,Post-transition Metals,Ultraviolet
Aluminum,1828.588,600.0,0,Post-transition Metals,Ultraviolet
Aluminum,1858.026,700.0,1,Post-transition Metals,Ultraviolet
Aluminum,1862.311,1000.0,1,Post-transition Metals,Ultraviolet
Aluminum,1990.531,700.0,0,Post-transition Metals,Ultraviolet
Aluminum,1539.83,800.0,1,Post-transition Metals,Ultraviolet
Aluminum,1670.7886,1000.0,1,Post-transition Metals,Ultraviolet
Aluminum,1719.44,800.0,1,Post-transition Metals,Ultraviolet
Aluminum,1721.244,500.0,0,Post-transition Metals,Ultraviolet
Aluminum,1721.271,900.0,1,Post-transition Metals,Ultraviolet
Aluminum,1724.952,500.0,0,Post-transition Metals,Ultraviolet
Aluminum,1724.984,900.0,1,Post-transition Metals,Ultraviolet
Aluminum,1762.899,30.0,0,Post-transition Metals,Ultraviolet
Aluminum,1763.869,500.0,0,Post-transition Metals,Ultraviolet
Aluminum,1763.952,700.0,1,Post-transition Metals,Ultraviolet
Aluminum,1765.636,50.0,0,Post-transition Metals,Ultraviolet
Aluminum,1765.815,300.0,0,Post-transition Metals,Ultraviolet
Aluminum,1766.385,50.0,0,Post-transition Metals,Ultraviolet
Aluminum,1767.731,400.0,0,Post-transition Metals,Ultraviolet
Aluminum,1769.14,50.0,0,Post-transition Metals,Ultraviolet
Aluminum,1828.588,600.0,0,Post-transition Metals,Ultraviolet
Aluminum,1858.026,700.0,1,Post-transition Metals,Ultraviolet
Aluminum,1862.311,1000.0,1,Post-transition Metals,Ultraviolet
Aluminum,1990.531,700.0,0,Post-transition Metals,Ultraviolet
Helium,231.4541,15.0,0,Noble Gases,Ultraviolet
Helium,232.5842,20.0,0,Noble Gases,Ultraviolet
Helium,234.3472,30.0,0,Noble Gases,Ultraviolet
Helium,237.3307,50.0,0,Noble Gases,Ultraviolet
Helium,243.0266,100.0,0,Noble Gases,Ultraviolet
Helium,256.3166,300.0,1,Noble Gases,Ultraviolet
Helium,256.3177,150.0,1,Noble Gases,Ultraviolet
Helium,303.7804,1000.0,1,Noble Gases,Ultraviolet
Helium,303.7858,500.0,1,Noble Gases,Ultraviolet
Helium,320.293,10.0,0,Noble Gases,Ultraviolet
Helium,505.50035,2.0,0,Noble Gases,Ultraviolet
Helium,505.68433,3.0,0,Noble Gases,Ultraviolet
Helium,505.91252,4.0,0,Noble Gases,Ultraviolet
Helium,506.20034,5.0,0,Noble Gases,Ultraviolet
Helium,506.57057,7.0,0,Noble Gases,Ultraviolet
Helium,507.05802,10.0,0,Noble Gases,Ultraviolet
Helium,507.71809,15.0,0,Noble Gases,Ultraviolet
Helium,508.64338,20.0,0,Noble Gases,Ultraviolet
Helium,509.99829,25.0,0,Noble Gases,Ultraviolet
Helium,512.09856,35.0,0,Noble Gases,Ultraviolet
Helium,515.61684,50.0,0,Noble Gases,Ultraviolet
Helium,522.21309,100.0,1,Noble Gases,Ultraviolet
Helium,537.02992,400.0,1,Noble Gases,Ultraviolet
Helium,584.33436,1000.0,1,Noble Gases,Ultraviolet
Helium,591.41207,50.0,0,Noble Gases,Ultraviolet
Helium,958.7,5.0,0,Noble Gases,Ultraviolet
Helium,972.11,6.0,0,Noble Gases,Ultraviolet
Helium,992.36,8.0,0,Noble Gases,Ultraviolet
Helium,1025.27,15.0,0,Noble Gases,Ultraviolet
Helium,1084.94,30.0,0,Noble Gases,Ultraviolet
Helium,1215.09,35.0,0,Noble Gases,Ultraviolet
Helium,1215.17,50.0,0,Noble Gases,Ultraviolet
Helium,1640.3321,120.0,1,Noble Gases,Ultraviolet
Helium,1640.3447,50.0,1,Noble Gases,Ultraviolet
Helium,1640.375,7.0,1,Noble Gases,Ultraviolet
Helium,1640.3914,25.0,1,Noble Gases,Ultraviolet
Helium,1640.4742,180.0,1,Noble Gases,Ultraviolet
Helium,1640.4897,25.0,1,Noble Gases,Ultraviolet
Helium,1640.5326,15.0,1,Noble Gases,Ultraviolet
Helium,231.4541,15.0,0,Noble Gases,Ultraviolet
Helium,232.5842,20.0,0,Noble Gases,Ultraviolet
Helium,234.3472,30.0,0,Noble Gases,Ultraviolet
Helium,237.3307,50.0,0,Noble Gases,Ultraviolet
Helium,243.0266,100.0,0,Noble Gases,Ultraviolet
Helium,256.3166,300.0,1,Noble Gases,Ultraviolet
Helium,256.3177,150.0,1,Noble Gases,Ultraviolet
Helium,303.7804,1000.0,1,Noble Gases,Ultraviolet
Helium,303.7858,500.0,1,Noble Gases,Ultraviolet
Helium,320.293,10.0,0,Noble Gases,Ultraviolet
Helium,505.50035,2.0,0,Noble Gases,Ultraviolet
Helium,505.68433,3.0,0,Noble Gases,Ultraviolet
Helium,505.91252,4.0,0,Noble Gases,Ultraviolet
Helium,506.20034,5.0,0,Noble Gases,Ultraviolet
Helium,506.57057,7.0,0,Noble Gases,Ultraviolet
Helium,507.05802,10.0,0,Noble Gases,Ultraviolet
Helium,507.71809,15.0,0,Noble Gases,Ultraviolet
Helium,508.64338,20.0,0,Noble Gases,Ultraviolet
Helium,509.99829,25.0,0,Noble Gases,Ultraviolet
Helium,512.09856,35.0,0,Noble Gases,Ultraviolet
Helium,515.61684,50.0,0,Noble Gases,Ultraviolet
Helium,522.21309,100.0,1,Noble Gases,Ultraviolet
Helium,537.02992,400.0,1,Noble Gases,Ultraviolet
Helium,584.33436,1000.0,1,Noble Gases,Ultraviolet
Helium,591.41207,50.0,0,Noble Gases,Ultraviolet
Helium,958.7,5.0,0,Noble Gases,Ultraviolet
Helium,972.11,6.0,0,Noble Gases,Ultraviolet
Helium,992.36,8.0,0,Noble Gases,Ultraviolet
Helium,1025.27,15.0,0,Noble Gases,Ultraviolet
Helium,1084.94,30.0,0,Noble Gases,Ultraviolet
Helium,1215.09,35.0,0,Noble Gases,Ultraviolet
Helium,1215.17,50.0,0,Noble Gases,Ultraviolet
