element,wavelength,intensity,persistence,type,spectrum_region
Gold,2000.792,150.0,0,Transition Metals,Ultraviolet
Gold,2012.0,1000.0,1,Transition Metals,Ultraviolet
Gold,2021.38,250.0,1,Transition Metals,Ultraviolet
Gold,2044.587,150.0,0,Transition Metals,Ultraviolet
Gold,2082.077,400.0,1,Transition Metals,Ultraviolet
Gold,2110.685,500.0,1,Transition Metals,Ultraviolet
Gold,2228.915,200.0,0,Transition Metals,Ultraviolet
Gold,2248.562,400.0,0,Transition Metals,Ultraviolet
Gold,2263.627,700.0,1,Transition Metals,Ultraviolet
Gold,2304.684,250.0,0,Transition Metals,Ultraviolet
Gold,2352.65,15.0,0,Transition Metals,Ultraviolet
Gold,2387.75,11.0,0,Transition Metals,Ultraviolet
Gold,2427.95,250.0,1,Transition Metals,Ultraviolet
Gold,2533.518,400.0,0,Transition Metals,Ultraviolet
Gold,2552.658,100.0,0,Transition Metals,Ultraviolet
Gold,2616.393,400.0,0,Transition Metals,Ultraviolet
Gold,2641.48,25.0,0,Transition Metals,Ultraviolet
Gold,2675.954,300.0,1,Transition Metals,Ultraviolet
Gold,2748.253,100.0,1,Transition Metals,Ultraviolet
Gold,2780.822,9.0,0,Transition Metals,Ultraviolet
Gold,2802.036,600.0,1,Transition Metals,Ultraviolet
Gold,2819.793,200.0,0,Transition Metals,Ultraviolet
Gold,2822.546,1000.0,1,Transition Metals,Ultraviolet
Gold,2825.437,400.0,0,Transition Metals,Ultraviolet
Gold,2837.848,120.0,0,Transition Metals,Ultraviolet
Gold,2846.92,400.0,0,Transition Metals,Ultraviolet
Gold,2883.446,25.0,0,Transition Metals,Ultraviolet
Gold,2891.961,25.0,0,Transition Metals,Ultraviolet
Gold,2893.247,400.0,1,Transition Metals,Ultraviolet
Gold,2907.042,20.0,0,Transition Metals,Ultraviolet
Gold,2913.517,40.0,0,Transition Metals,Ultraviolet
Gold,2918.235,400.0,1,Transition Metals,Ultraviolet
Gold,2954.222,200.0,0,Transition Metals,Ultraviolet
Gold,2990.268,200.0,0,Transition Metals,Ultraviolet
Gold,2994.8,400.0,1,Transition Metals,Ultraviolet
Gold,3029.204,30.0,1,Transition Metals,Ultraviolet
Gold,3065.424,25.0,0,Transition Metals,Ultraviolet
Gold,3122.784,150.0,1,Transition Metals,Ultraviolet
Gold,3194.72,9.0,0,Transition Metals,Ultraviolet
Gold,3230.632,25.0,0,Transition Metals,Ultraviolet
Gold,3308.305,25.0,0,Transition Metals,Ultraviolet
