Wavelength (nm),Extraterrestrial,Global tilt  W*m-2*nm-1,Circumsolar,peak_index,wavelength
283.0,0.325,1.8452e-17,6.7646e-20,6,283.0
287.0,0.362,2.7367e-12,7.2547e-14,14,287.0
291.0,0.618,3.5052e-08,3.8965e-09,22,291.0
296.0,0.573,4.7904e-05,1.4737e-05,32,296.0
297.5,0.529,0.00018608,6.7912e-05,35,297.5
303.5,0.646,0.0089795,0.0048044,47,303.5
308.0,0.645,0.037837,0.020753,56,308.0
311.0,0.762,0.082922,0.045392,62,311.0
317.5,0.80189,0.18245,0.099712,75,317.5
320.5,0.826,0.24525,0.13305,81,320.5
326.5,1.0166,0.40722,0.22162,93,326.5
330.0,1.1098,0.47139,0.26192,100,330.0
335.0,1.0097,0.46388,0.26477,110,335.0
340.0,1.0544,0.5018,0.29659,120,340.0
343.0,1.0417,0.51489,0.30857,126,343.0
345.5,0.97021,0.48932,0.29761,131,345.5
350.5,1.0849,0.56741,0.35471,141,350.5
354.5,1.144,0.61156,0.39043,149,354.5
360.0,1.089,0.59817,0.3924,160,360.0
366.0,1.286,0.73532,0.49508,172,366.0
370.0,1.2934,0.75507,0.51666,180,370.0
371.5,1.2249,0.72051,0.49587,183,371.5
378.0,1.4144,0.85595,0.60314,196,378.0
381.0,1.249,0.76383,0.54424,202,381.0
385.0,1.0802,0.67355,0.48638,210,385.0
391.5,1.349,0.86344,0.63617,223,391.5
395.5,1.3245,0.86038,0.64101,231,395.5
402.0,1.814,1.2061,0.91387,242,402.0
409.0,1.809,1.2299,0.94717,249,409.0
412.0,1.816,1.2478,0.96686,252,412.0
416.0,1.815,1.2624,0.98628,256,416.0
421.0,1.811,1.2757,1.0067,261,421.0
432.0,1.822,1.3207,1.0628,272,432.0
437.0,1.9,1.3943,1.1306,277,437.0
443.0,1.949,1.4453,1.1823,283,443.0
445.0,1.965,1.4619,1.1992,285,445.0
451.0,2.142,1.6173,1.3376,291,451.0
457.0,2.077,1.5854,1.3213,297,457.0
463.0,2.084,1.6031,1.3452,303,463.0
469.0,2.018,1.5682,1.3247,309,469.0
475.0,2.08,1.6185,1.3755,315,475.0
478.0,2.086,1.623,1.3839,318,478.0
490.0,2.032,1.6224,1.3968,330,490.0
495.0,2.051,1.6485,1.4238,335,495.0
506.0,2.025,1.6264,1.4153,346,506.0
512.0,1.989,1.6186,1.4125,352,512.0
516.0,1.891,1.5455,1.3514,356,516.0
522.0,1.915,1.569,1.376,362,522.0
524.0,1.941,1.5905,1.3962,364,524.0
531.0,1.995,1.6292,1.4348,371,531.0
536.0,1.974,1.6199,1.4292,376,536.0
538.0,1.913,1.5738,1.3896,378,538.0
544.0,1.919,1.5792,1.3971,384,544.0
552.0,1.896,1.5697,1.3923,392,552.0
561.0,1.89,1.5595,1.3885,401,561.0
563.0,1.871,1.5408,1.3731,403,563.0
567.0,1.868,1.532,1.3673,407,567.0
573.0,1.881,1.5198,1.3595,413,573.0
583.0,1.863,1.5479,1.3872,423,583.0
591.0,1.809,1.4662,1.3171,431,591.0
604.0,1.779,1.4921,1.3439,444,604.0
615.0,1.712,1.4697,1.3254,455,615.0
621.0,1.724,1.4802,1.3359,461,621.0
627.0,1.693,1.4417,1.3022,467,627.0
633.0,1.674,1.4508,1.311,473,633.0
638.0,1.665,1.4707,1.3292,478,638.0
651.0,1.613,1.4447,1.3071,491,651.0
662.0,1.571,1.3819,1.2518,502,662.0
724.0,1.3607,1.0555,0.96305,564,724.0
734.0,1.339,1.2357,1.1261,574,734.0
851.0,0.998,0.97493,0.90454,691,851.0
863.0,1.012,1.0005,0.92934,703,863.0
870.0,0.977,0.96755,0.89933,710,870.0
1287.0,0.43036,0.42213,0.40405,1127,1287.0
