Wave/freq,Total,CO2,N2,CO,O2,SO2,H2O,O3,Volcanic,Rayleigh,CIA,wavelength,Total_normalized,peak_index,planet,N2O,CH4,Dust,WaterIce,H2,He,C2H6,C2H2,Ammonia,NH3,C2H4
0.8654396681,0.000747985,0.990773,0.999999,0.999999,0.999999,0.999999,0.99783,0.999999,0.00612133,0.123598,0.999998,8654.396681,0.2860374227052493,110,venus,,,,,,,,,,,
0.9051725045,0.000957665,0.987373,0.999999,0.999999,0.999999,0.999999,0.899328,0.999999,0.00619265,0.174278,0.995993,9051.725045,0.36622128574105445,119,venus,,,,,,,,,,,
1.025375408,0.00219407,0.993444,0.999999,0.999999,0.999999,0.999999,0.994908,0.999999,0.00641351,0.346112,0.999967,10253.754079999999,0.8390357133296875,144,venus,,,,,,,,,,,
1.094061411,0.00189991,0.794211,0.999999,0.999999,0.999999,0.999999,0.857383,0.999999,0.0063001,0.441044,0.999246,10940.61411,0.7265457994103228,157,venus,,,,,,,,,,,
1.190871084,0.00261499,0.95719,0.999999,0.999867,0.999999,0.999999,0.840735,0.999999,0.00581935,0.558133,0.998126,11908.710840000002,1.0,174,venus,,,,,,,,,,,
1.276996228,0.00122115,0.365449,0.999999,0.999999,0.999999,0.999999,0.950048,0.999999,0.00542258,0.643362,0.999932,12769.96228,0.46698075327247907,188,venus,,,,,,,,,,,
1.739744385,0.000973112,0.398355,0.999999,0.999999,0.999999,0.999999,0.475697,0.999999,0.00552415,0.879829,0.998554,17397.44385,0.3721283829001258,250,venus,,,,,,,,,,,
0.6845921186,0.955953,0.999999,0.999999,0.999999,0.999871,,0.997768,0.990837,,0.967261,0.999804,6845.9211860000005,0.9626540347357959,63,earth,0.999999,0.999998,,,,,,,,,
0.71245984,0.941217,0.999999,0.999999,0.999999,0.999999,,0.973683,0.994958,,0.972022,0.999517,7124.5984,0.9478147383939604,71,earth,0.999999,0.999998,,,,,,,,,
0.756402804,0.973384,0.999999,0.999999,0.999999,0.999909,,0.999659,0.997795,,0.977912,0.997997,7564.02804,0.9802072224756531,83,earth,0.999999,0.999999,,,,,,,,,
0.7793804373,0.977359,0.999999,0.999999,0.999999,0.999999,,0.999355,0.997633,,0.980379,0.999933,7793.804373,0.9842100864115105,89,earth,0.999999,0.999993,,,,,,,,,
0.8697668665,0.986499,0.999964,0.999999,0.999999,0.999964,,0.999647,0.999673,,0.987305,0.999971,8697.668665,0.9934141559394948,111,earth,0.999999,0.999958,,,,,,,,,
0.9234121836,0.747734,0.999992,0.999999,0.999999,0.999999,,0.762191,0.999904,,0.989994,0.991045,9234.121836,0.7529754621923207,123,earth,0.999999,0.999996,,,,,,,,,
1.035654796,0.992179,0.999936,0.999999,0.999999,0.999999,,0.998628,0.999995,,0.993664,0.999976,10356.54796,0.9991339715761416,146,earth,0.999999,0.999966,,,,,,,,,
1.245544665,0.981148,0.999989,0.999999,0.999999,0.999403,,0.997004,0.999999,,0.996966,0.987647,12455.44665,0.9880256465254638,183,earth,0.999999,0.999988,,,,,,,,,
1.461077598,0.226103,0.999926,0.999999,0.999999,0.999999,,0.271525,0.999999,,0.998396,0.834106,14610.775979999999,0.22768793572055074,215,earth,0.999997,0.999882,,,,,,,,,
1.622409867,0.993039,0.99857,0.999999,0.999999,0.999999,,0.997134,0.999999,,0.998944,0.999618,16224.09867,1.0,236,earth,0.999997,0.998701,,,,,,,,,
1.990531758,0.591419,0.98293,0.999999,0.999999,0.999999,,0.617346,0.999996,,0.999533,0.964045,19905.31758,0.5955647260580904,277,earth,0.999762,0.999971,,,,,,,,,
2.040795179,0.8395,0.931427,0.999999,0.999999,0.999999,,0.887133,0.999857,,0.999578,0.993175,20407.95179,0.8453847230572012,282,earth,0.99995,0.999997,,,,,,,,,
