Wave/freq,Total,CO2,N2,CO,O2,SO2,H2O,O3,Volcanic,Rayleigh,CIA,wavelength,Total_normalized,peak_index,planet,N2O,CH4,Dust,WaterIce,H2,He,C2H6,C2H2,Ammonia,NH3,C2H4
0.7793804373,0.000250589,0.981507,0.999999,0.999999,0.999999,0.999999,0.998734,0.999998,0.00613876,0.0416408,0.999997,7793.804373,0.09582789991548725,89,venus,,,,,,,,,,,
0.8654396681,0.000747985,0.990773,0.999999,0.999999,0.999999,0.999999,0.99783,0.999999,0.00612133,0.123598,0.999998,8654.396681,0.2860374227052493,110,venus,,,,,,,,,,,
0.8872931042,0.000905091,0.984248,0.999999,0.999999,0.999999,0.999999,0.99025,0.999999,0.00616046,0.150734,0.999935,8872.931042,0.34611642874351334,115,venus,,,,,,,,,,,
0.9051725045,0.000957665,0.987373,0.999999,0.999999,0.999999,0.999999,0.899328,0.999999,0.00619265,0.174278,0.995993,9051.725045,0.36622128574105445,119,venus,,,,,,,,,,,
0.9188180931,0.000859182,0.91317,0.999999,0.999999,0.999999,0.999999,0.768061,0.999999,0.00621734,0.192896,0.997611,9188.180930999999,0.32856033866286294,122,venus,,,,,,,,,,,
0.9420194014,0.000405136,0.886217,0.999999,0.999999,0.999999,0.999999,0.326102,0.999999,0.00625953,0.225513,0.963103,9420.194013999999,0.15492831712549568,127,venus,,,,,,,,,,,
1.025375408,0.00219407,0.993444,0.999999,0.999999,0.999999,0.999999,0.994908,0.999999,0.00641351,0.346112,0.999967,10253.754079999999,0.8390357133296875,144,venus,,,,,,,,,,,
1.094061411,0.00189991,0.794211,0.999999,0.999999,0.999999,0.999999,0.857383,0.999999,0.0063001,0.441044,0.999246,10940.61411,0.7265457994103228,157,venus,,,,,,,,,,,
1.127296272,0.000192541,0.482744,0.999999,0.999999,0.999999,0.999999,0.10468,0.999999,0.00613074,0.483715,0.927297,11272.96272,0.0736297270735261,163,venus,,,,,,,,,,,
1.144290404,0.000305176,0.580351,0.999999,0.999999,0.999999,0.999999,0.154077,0.999999,0.00604591,0.50456,0.952344,11442.90404,0.11670254953173816,166,venus,,,,,,,,,,,
1.190871084,0.00261499,0.95719,0.999999,0.999867,0.999999,0.999999,0.840735,0.999999,0.00581935,0.558133,0.998126,11908.710840000002,1.0,174,venus,,,,,,,,,,,
1.276996228,0.00122115,0.365449,0.999999,0.999999,0.999999,0.999999,0.950048,0.999999,0.00542258,0.643362,0.999932,12769.96228,0.46698075327247907,188,venus,,,,,,,,,,,
1.739744385,0.000973112,0.398355,0.999999,0.999999,0.999999,0.999999,0.475697,0.999999,0.00552415,0.879829,0.998554,17397.44385,0.3721283829001258,250,venus,,,,,,,,,,,
0.5836035417,0.903372,0.999999,0.999999,0.999999,0.999972,,0.997728,0.967334,,0.938918,0.99692,5836.035416999999,0.9097044526952113,31,earth,0.999999,0.999999,,,,,,,,,
0.6226969258,0.921646,0.999999,0.999999,0.999999,0.999999,,0.999841,0.971396,,0.952535,0.996224,6226.969258,0.9281065496924088,44,earth,0.999999,0.999995,,,,,,,,,
0.6416129075,0.933031,0.999999,0.999999,0.999999,0.999999,,0.996218,0.978946,,0.957774,0.998893,6416.129075,0.939571356210582,50,earth,0.999999,0.999999,,,,,,,,,
0.6845921186,0.955953,0.999999,0.999999,0.999999,0.999871,,0.997768,0.990837,,0.967261,0.999804,6845.9211860000005,0.9626540347357959,63,earth,0.999999,0.999998,,,,,,,,,
0.6914551546,0.893459,0.999999,0.999999,0.999999,0.942404,,0.975672,0.992251,,0.968521,0.999438,6914.551546,0.8997219645955497,65,earth,0.999999,0.999999,,,,,,,,,
0.71245984,0.941217,0.999999,0.999999,0.999999,0.999999,,0.973683,0.994958,,0.972022,0.999517,7124.5984,0.9478147383939604,71,earth,0.999999,0.999998,,,,,,,,,
0.756402804,0.973384,0.999999,0.999999,0.999999,0.999909,,0.999659,0.997795,,0.977912,0.997997,7564.02804,0.9802072224756531,83,earth,0.999999,0.999999,,,,,,,,,
